,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
3358,470,380;380;380,3,6.8306656968218356;4.419649727364911;3.501943042243073,0.01836855774036127;0.012786821667479032;0.010571812439222388,0.021001542135880447;0.015428342884435326;0.013195939320618945,0.05058029774659997;0.0;0.0,0.20888;0.07044158733770749;0.04160489629377763,10.0
3359,470,390;390;390,3,6.57223230184108;4.249693092641104;3.5210196230208877,0.01726434304446127;0.011956982691326777;0.010307288649827955,0.019826038445758115;0.014506930586864615;0.01287456463452655,0.048087743946442545;0.0;0.0,0.19224;0.06627870983718195;0.038749718195923454,10.0
3360,470,400;400;400,3,6.330423248135279;4.3507519059332305;3.49404461780504,0.016247527836072424;0.011990977976708778;0.010019136296868429,0.01874293283642661;0.014502339472870872;0.01251493380725591,0.04662178858712686;0.0;0.0,0.17128;0.06864425188868238;0.03876059404400902,10.0
3361,470,410;410;410,3,6.128711492554369;4.279161835899177;3.550285647807391,0.015448489176297263;0.011538277500245192;0.009999725735402065,0.01788090310299882;0.013981667143858272;0.012453738377073462,0.04515740551321583;0.0;0.0,0.159;0.06507236208393288;0.042676876892156615,10.0
3362,470,420;420;420,3,5.843549527506459;3.996037151584713;3.3618625851963992,0.01459708622143423;0.010598906502929642;0.009239597520619746,0.016990834022989572;0.012972273584635692;0.011612232069811804,0.042252592214324924;0.0;0.0,0.14297;0.058045091723848204;0.03489927897123318,10.0
3363,470,430;430;430,3,5.6483387339495925;4.021184237489368;3.3023881099228487,0.013829903658549858;0.010419837282167738;0.008848995335381204,0.016165157609173746;0.01273892641764118;0.011161155555250659,0.040692149228251366;0.0;0.0,0.13342;0.055016330628873476;0.03286837991010358,10.0
3364,470,440;440;440,3,5.305381800873471;3.9314066781318404;3.2965214264758798,0.012798633689487969;0.010003903066858187;0.008690518359433418,0.0150708519522294;0.012279489891046604;0.01096110273183059,0.03884783724102098;0.0;0.0,0.11483;0.051849592118048494;0.03474862066089112,10.0
3365,470,450;450;450,3,5.022973896837948;3.784130707200977;3.2170015637274756,0.011929651516055469;0.00944797156907722;0.008301785864439196,0.01414695487015418;0.011657857611873414;0.010511245423988128,0.036816374686718285;0.0;0.0,0.10209;0.04873702499220386;0.0323993302343009,10.0
3366,470,460;460;460,3,4.797776245481602;3.799727741309588;3.1585250319190417,0.011240625754136176;0.009365745725728234;0.008037036538044254,0.01341143981149647;0.011547274505417487;0.010203985339501833,0.035633742321791166;0.0;0.0,0.0918;0.04948303769035114;0.031176865861853233,10.0
3367,470,470;470;470,3,4.5867427344670455;3.4855805347307802;3.146522987460316,0.01065543448625254;0.008448052079035175;0.007858172917694268,0.01278258946316067;0.010555319237983496;0.0099814191323209,0.03371035952672457;0.0;0.0,0.08466;0.04154921883535453;0.029435571211965755,10.0
